NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40069790;33.2;34.54;1146.73;1146.73;0
40069906;59.0;34.54;2037.86;2037.86;0
40069973;57.5;34.54;1986.05;1986.05;0
40069871;32.5;34.54;1122.55;1122.55;0
40069599;37.5;44.79;1679.63;1679.63;0
40069404;62.2;44.79;2785.94;2785.94;0
40069173;33.2;34.54;1146.73;1146.73;0
40069093;32.7;34.54;1129.46;1129.46;0
40020615;88.5;34.54;3056.79;3056.79;0
40069394;48.8;44.79;2185.75;2185.75;0
40068274;43.7;44.79;1957.32;1957.32;0
40068544;40.5;34.54;1398.87;1398.87;0
40068654;14.2;29.99;425.86;425.86;0
40068982;44.6;34.54;1540.48;1540.48;0
40069037;30.6;34.54;1056.92;1056.92;0
40069850;57.5;34.54;1986.05;1986.05;0
40010530;59.3;44.79;2656.05;2656.05;0
40013351;53.8;34.54;1858.25;1858.25;0
40023397;40.0;34.54;1381.6;1381.6;0
40010597;46.9;44.79;2100.65;2100.65;0
40070035;60.4;44.79;2705.32;2705.32;0
40068346;30.8;34.54;1063.83;1063.83;0
40068210;40.9;34.54;1412.69;1412.69;0
40010654;47.5;44.79;2127.53;2127.53;0
40010582;60.1;20.16;1211.62;1211.62;0
40013317;69.1;34.54;2386.71;2386.71;0
40069913;32.6;34.54;1126.0;1126.0;0
40010545;32.3;44.79;1446.72;1446.72;0
40020640;53.0;34.54;1830.62;1830.62;0
40069035;57.3;34.54;1979.14;1979.14;0
40069152;57.9;34.54;1999.87;1999.87;0
40069731;34.74;44.79;1556.14;1556.0;0
40068364;31.0;34.54;1070.74;1070.74;0
40069464;60.2;44.79;2696.36;2696.36;0
40069163;48.6;34.54;1678.64;1678.64;0
40069863;48.0;34.54;1657.92;1657.92;0
40068303;47.6;44.79;2132.0;2132.0;0
40070000;57.3;44.79;2566.47;2566.47;0
40068561;30.4;34.54;1050.02;1050.02;0
40069500;74.0;44.79;3314.46;3314.46;0
40069705;52.2;44.79;2338.04;2338.04;0
40020506;42.0;34.54;1450.68;1450.68;0
40069995;45.6;44.79;2042.42;2042.42;0
40010570;59.3;44.79;2656.05;2656.05;0
40069388;48.5;44.79;2172.32;2172.32;0
40070042;46.8;44.79;2096.17;2096.17;0
40036846;36.2;44.79;1621.4;1621.4;0
40068353;31.0;34.54;1070.74;1070.74;0
40023405;39.6;34.54;1367.78;1367.78;0
40039942;31.1;34.54;1074.19;1074.19;0
40069723;37.2;44.79;1666.19;1666.19;0
40068323;61.1;44.79;2736.67;2736.67;0
40069574;36.3;44.79;1625.88;1625.88;0
40069638;69.4;44.79;3108.43;3108.43;0
